SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
5,1,2,0,1,1,0,4,2,2
2,4,3,2,1,2,0,0,0,12
2,35,3,1,3,2,0,0,0,12
2,27,3,1,2,2,0,0,0,9
2,3,2,2,2,2,0,10,2,12
5,7,2,1,2,2,0,4,2,2
1,3,3,2,3,2,0,9,0,12
0,28,2,2,2,0,0,0,0,11
2,35,3,2,3,0,0,10,0,2
2,22,3,2,4,2,0,4,0,12
2,3,3,1,2,2,0,4,0,13
2,33,3,2,3,2,0,9,2,2
1,18,4,2,2,0,0,10,0,11
2,25,3,3,4,0,0,8,0,4
2,3,3,2,2,0,0,4,3,2
6,3,3,1,2,2,0,0,0,13
2,4,3,3,3,0,0,4,1,2
0,18,3,0,0,1,0,8,2,2
2,7,3,1,1,2,0,4,2,2
2,26,2,2,1,2,0,3,0,3
4,3,3,1,3,0,0,4,0,2
1,24,1,2,3,0,1,4,1,12
6,18,2,2,2,1,0,4,0,3
6,7,3,3,4,0,0,8,4,6
3,17,2,2,2,0,1,4,11,2
1,3,3,2,3,0,0,10,0,13
2,14,2,2,5,0,1,9,11,12
0,21,2,0,0,2,0,0,0,12
5,34,1,1,2,0,0,10,11,2
5,28,3,2,0,2,0,0,0,3
4,28,3,1,1,2,0,0,0,2
1,3,3,2,4,0,0,0,4,12
4,28,3,1,2,2,0,0,4,2
2,3,3,1,1,2,0,8,0,7
6,21,3,4,3,0,0,4,0,2
6,21,3,4,3,0,0,4,0,12
6,3,3,6,2,2,0,9,0,12
4,21,4,1,1,2,0,2,1,12
2,21,4,2,1,1,0,4,0,6
6,25,2,4,1,2,0,0,0,2
2,7,3,1,3,2,0,8,4,3
4,22,2,3,1,1,0,0,4,3
6,0,1,3,3,2,0,0,0,2
6,25,3,2,3,2,0,4,2,2
5,16,3,1,1,2,0,4,2,12
6,25,2,3,0,1,0,4,0,13
4,22,2,3,2,2,0,0,4,2
6,3,3,1,2,0,0,0,0,2
2,25,0,1,2,2,0,0,4,2
2,35,3,1,3,2,0,0,0,2
1,7,2,3,2,0,0,10,0,2
6,25,2,4,1,0,0,0,0,12
0,32,3,2,1,1,0,0,4,2
0,7,3,1,1,2,0,2,11,2
2,3,3,3,3,2,0,0,0,13
4,25,3,2,2,2,0,0,4,12
6,3,3,4,2,2,0,0,0,2
4,7,2,3,2,2,0,4,2,3
6,35,1,2,1,2,0,4,0,13
2,25,2,1,2,0,0,3,0,5
3,18,3,0,0,1,0,0,2,12
2,3,3,2,2,2,0,0,0,2
2,13,4,3,0,2,0,3,2,2
4,3,3,2,2,1,0,0,0,6
0,3,2,0,0,2,0,0,0,13
4,3,3,1,1,1,0,4,2,3
0,3,3,2,1,1,0,4,0,3
6,3,3,2,2,2,0,0,2,12
3,3,3,3,2,1,0,4,9,2
4,18,2,2,2,2,0,0,0,3
4,3,3,0,0,2,0,0,0,2
4,3,3,2,1,1,0,10,2,12
6,3,1,2,2,2,0,0,0,2
1,33,3,2,1,2,0,0,2,12
4,3,4,0,0,2,0,0,0,2
0,3,4,1,0,2,0,4,2,12
2,7,3,2,2,2,0,4,4,2
6,3,4,2,2,2,0,0,0,2
6,3,2,1,0,2,0,9,0,2
1,28,3,3,3,0,0,0,2,2
2,21,3,0,1,2,0,10,0,2
2,21,3,1,0,2,0,2,12,2
2,35,2,1,2,2,0,10,0,12
4,3,2,2,3,0,0,0,0,2
4,18,3,0,0,2,0,0,0,12
6,1,1,2,2,1,0,0,4,3
0,35,4,1,2,2,0,4,0,13
6,21,2,3,2,0,0,0,0,13
0,34,2,0,0,1,0,0,4,12
0,7,2,2,2,1,0,8,2,2
0,28,2,1,2,2,0,0,0,2
1,3,3,1,1,0,0,10,0,13
6,18,2,3,2,0,0,0,0,5
3,3,3,3,3,0,0,0,0,0
4,3,3,1,2,2,0,0,0,13
4,3,3,1,3,0,0,0,0,12
0,25,3,1,2,2,0,4,0,13
4,3,3,1,3,0,1,4,1,11
6,1,2,2,3,2,0,9,0,2
6,1,2,1,4,0,0,4,4,13
1,34,3,3,4,0,0,4,0,2
2,3,2,0,2,1,0,4,0,7
2,3,3,1,1,2,0,0,2,2
2,18,3,1,1,1,0,0,0,2
3,3,3,2,2,0,0,0,0,13
2,3,4,1,2,0,0,0,0,12
2,3,3,2,1,2,0,0,0,2
6,3,3,1,2,2,0,0,0,12
6,3,1,4,1,1,0,3,0,2
2,25,3,3,5,0,0,4,9,12
2,21,3,1,2,2,0,0,0,12
6,3,1,4,1,2,0,0,9,12
2,25,3,0,0,1,0,0,0,2
2,3,3,1,2,0,0,4,0,2
2,3,4,2,2,2,0,10,0,5
1,3,3,0,1,2,0,0,0,2
4,35,3,2,1,2,0,0,0,2
4,35,3,2,2,2,0,4,7,2
5,35,4,0,1,1,0,4,0,12
4,33,3,2,2,2,0,0,0,12
3,14,2,2,5,0,1,4,13,2
6,12,2,3,2,2,0,4,0,2
4,3,1,0,0,2,0,3,0,2
4,3,3,2,0,1,0,4,0,12
6,28,1,3,2,0,0,8,0,13
2,7,3,2,1,0,0,4,9,2
6,3,3,1,1,2,0,4,4,13
2,18,2,1,1,1,0,8,2,2
2,18,2,2,1,2,0,8,2,13
1,28,3,1,1,1,0,0,2,2
3,3,4,2,1,0,0,8,0,13
1,3,4,3,1,2,0,4,2,2
5,21,3,1,3,2,0,0,0,12
4,18,2,1,1,2,0,0,0,2
1,18,3,1,3,2,0,0,2,2
3,33,3,1,1,2,0,0,4,2
2,3,4,1,3,0,1,4,7,2
4,18,3,1,3,0,0,0,0,2
0,28,3,1,2,2,0,4,4,3
0,2,3,1,0,1,0,4,2,3
6,28,2,3,1,1,0,2,4,2
4,33,3,3,2,2,0,0,4,7
6,7,3,3,4,0,0,0,9,11
0,28,2,1,2,2,0,0,0,12
6,21,2,2,0,2,0,4,0,13
2,35,3,1,2,0,0,0,0,2
3,33,2,2,3,0,0,4,2,2
2,7,3,2,3,2,0,4,0,2
3,17,3,0,4,0,1,1,11,2
2,2,3,2,3,1,0,4,1,12
5,35,3,1,3,0,0,0,0,2
4,13,3,4,3,0,0,0,2,2
6,9,2,2,4,0,1,2,11,2
6,3,2,2,2,2,0,0,9,12
3,22,3,1,4,2,0,0,0,2
5,3,2,2,2,2,0,4,0,13
0,1,3,2,4,0,0,0,0,12
5,25,4,3,1,2,0,0,0,12
1,25,3,1,3,2,0,4,9,13
6,3,2,3,1,2,0,0,0,5
1,25,4,2,3,2,0,0,0,2
6,3,3,1,1,2,0,0,0,2
0,7,2,2,1,1,0,0,0,2
2,21,2,1,1,2,0,9,0,12
3,34,3,2,1,2,0,8,2,2
6,3,4,2,2,2,0,4,0,2
6,7,2,2,0,1,0,0,0,2
6,3,3,3,3,0,0,0,0,2
6,18,2,2,1,2,0,10,4,4
2,18,3,2,2,0,0,0,2,2
6,12,0,3,3,1,0,3,0,2
1,3,3,1,2,0,0,4,10,2
0,3,3,1,0,2,0,0,0,2
2,25,2,2,3,2,0,4,0,2
1,33,4,3,4,2,0,0,0,2
4,34,3,1,2,2,0,4,2,13
