SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
BOGOTÁ,MERCEDES BENZ,2016,31 a 60, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,NISSAN,2016,61 a 120, Alto ,Fuerte,Liviano,NEGRO,AUTOMOVIL,ESTADO DE EMBRIAGUEZ
MEDELLÍN,FORD,2019,61 a 120, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,FALLA MECANICA
BOGOTÁ,INTERNATIONAL,2012,31 a 60, Alto ,Fuerte,Pesado,OTROS,REMOLCADOR,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2018,31 a 60, Alto ,Fuerte,Liviano,GRIS,CAMPERO,OBSTACULOS EN LA VIA
MEDELLÍN,AUDI,2015,16 a 30, Alto ,Fuerte,Liviano,BLANCO,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
BARRANQUILLA,TOYOTA,2019,61 a 120, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,NISSAN,2020,61 a 120, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,OBSTACULOS EN LA VIA
BUCARAMANGA,INTERNATIONAL,2012,31 a 60, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,DISTRACCION DEL CONDUCTOR
MEDELLÍN,FORD,2018,61 a 120, Alto ,Fuerte,Liviano,GRIS,PICKUP DOBLE CABINA,INUNDACION
BUCARAMANGA,KENWORTH,2020,0 a 15, Alto ,Fuerte,Pesado,AMARILLO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
MEDELLÍN,FREIGHTLINER,2012,31 a 60, Alto ,Fuerte,Pesado,AZUL,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,MERCEDES BENZ,2019,16 a 30, Alto ,Medio,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
PEREIRA,AUDI,2016,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
BARRANQUILLA,SUZUKI,2021,61 a 120, Alto ,Medio,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
PEREIRA,HONDA,2014,31 a 60, Alto ,Medio,Liviano,AMARILLO,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,FREIGHTLINER,2013,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2011,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CARROTANQUE,DISTRACCION DEL CONDUCTOR
BOGOTÁ,INTERNATIONAL,2012,31 a 60, Alto ,Medio,Pesado,ROJO,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
BUCARAMANGA,AUDI,2018,0 a 15, Alto ,Medio,Liviano,GRIS,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2017,31 a 60, Alto ,Fuerte,Liviano,OTROS,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BOGOTÁ,TOYOTA,2019,61 a 120, Alto ,Fuerte,Liviano,AZUL,VOLQUETA,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KENWORTH,2012,31 a 60, Alto ,Fuerte,Pesado,AZUL,CAMION,FALLA MECANICA
MEDELLÍN,FREIGHTLINER,2012,31 a 60, Alto ,Fuerte,Pesado,ROJO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,MINI,2019,61 a 120, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,FREIGHTLINER,2007,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,VIOLACION DE NORMAS DE TRANSITO
CALI,INTERNATIONAL,2012,61 a 120, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
MEDELLÍN,FREIGHTLINER,2009,31 a 60, Alto ,Fuerte,Pesado,VERDE,CAMION,FALLA MECANICA
CALI,HONDA,2014,61 a 120, Alto ,Fuerte,Liviano,NO REGISTRA,AUTOMOVIL,OBSTACULOS EN LA VIA
BUCARAMANGA,SEAT,2020,31 a 60, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
MEDELLÍN,VOLKSWAGEN,2011,241 a 480, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,KENWORTH,2015,31 a 60, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2010,61 a 120, Alto ,Fuerte,Pesado,NARANJA,REMOLCADOR,OBSTACULOS EN LA VIA
PEREIRA,INTERNATIONAL,2015,121 a 240, Alto ,Fuerte,Pesado,AMARILLO,CAMION,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,AUDI,2014,0 a 15, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,OBSTACULOS EN LA VIA
BUCARAMANGA,SUZUKI,2021,31 a 60, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,FREIGHTLINER,2020,121 a 240, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2012,31 a 60, Alto ,Fuerte,Pesado,VERDE,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,HINO,2021,121 a 240, Alto ,Fuerte,Pesado,ROJO,AUTOMOVIL,OBSTACULOS EN LA VIA
CALI,FORD,2012,61 a 120, Alto ,Leve,Liviano,BLANCO,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,FORD,2014,31 a 60, Alto ,Fuerte,Liviano,PLATA,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,KIA,2019,31 a 60, Alto ,Medio,Liviano,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
PEREIRA,AUDI,2012,31 a 60, Alto ,Fuerte,Liviano,NEGRO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,CHEVROLET,2007,31 a 60, Alto ,Fuerte,Pesado,ROJO,CAMION,OBSTACULOS EN LA VIA
CALI,RENAULT,2019,61 a 120, Alto ,Medio,Liviano,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2012,121 a 240, Alto ,Leve,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
CALI,NISSAN,2017,31 a 60, Alto ,Fuerte,Liviano,VERDE,REMOLCADOR,OBSTACULOS EN LA VIA
CALI,CHEVROLET,2014,31 a 60, Alto ,Medio,Liviano,ROJO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
CALI,CHEVROLET,2018,61 a 120, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,CHEVROLET,2012,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,OBSTACULOS EN LA VIA
MEDELLÍN,KENWORTH,2016,16 a 30, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,DISTRACCION DEL CONDUCTOR
MANIZALES,FORD,2014,61 a 120, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2020,121 a 240, Alto ,Medio,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
CALI,CHEVROLET,2020,121 a 240, Alto ,Fuerte,Liviano,GRIS,PICKUP DOBLE CABINA,OBSTACULOS EN LA VIA
BOGOTÁ,KIA,2021,31 a 60, Alto ,Fuerte,Liviano,NEGRO,AUTOMOVIL,OBSTACULOS EN LA VIA
MEDELLÍN,HINO,2021,61 a 120, Alto ,Leve,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,NISSAN,2018,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
MEDELLÍN,INTERNATIONAL,2006,16 a 30, Alto ,Fuerte,Pesado,PLATA,CAMIONETA PASAJEROS,HURTO - HALADO
BOGOTÁ,KENWORTH,2007,31 a 60, Alto ,Fuerte,Pesado,AZUL,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2004,31 a 60, Alto ,Medio,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,KIA,2015,61 a 120, Alto ,Medio,Liviano,GRIS,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,AUDI,2018,61 a 120, Alto ,Medio,Liviano,OTROS,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,VOLKSWAGEN,2012,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,HURTO - ACCESORIOS Y/O PARTES
BOGOTÁ,NISSAN,2016,61 a 120, Alto ,Fuerte,Liviano,AZUL,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
